id,steder,kilde_ider,status,kontrollert_dato,merknad
H-T3.1,Materiell/01-grunnleggende-elektronikk.md#1.4 Serie- og parallellkobling|Materiell/01-grunnleggende-elektronikk.md#1.8 Kondensatoren|Materiell/01-grunnleggende-elektronikk.md#1.9 Spolen|Materiell/02-signaler-filtre-halvledere.md#2.6 Dioder,HAREC-2024|FAA-ELEC-2023|MIT-CIRCUITS,DEKKET,2026-08-20,Kombinasjoner og parasittisk HF-oppførsel
H-T3.2,Materiell/02-signaler-filtre-halvledere.md#2.4 Resonans og Q|Materiell/02-signaler-filtre-halvledere.md#2.5 Lavpass høypass båndpass og båndstopp|Materiell/04-digital-signalbehandling.md#4.5 FIR- og IIR-filter,HAREC-2024|FAA-ELEC-2023|MIT-FILTERS|MIT-DSP-2161,DEKKET,2026-08-20,Resonans Q alle filterformer pi T krystall og digitale filtre
H-T3.3,Materiell/02-signaler-filtre-halvledere.md#2.7 Likeretting glatting og regulering,HAREC-2024|FAA-ELEC-2023|MIT-POWER,DEKKET,2026-08-20,Halv hel bro glatting regulering svitsjing isolasjon EMC
H-T3.4,Materiell/02-signaler-filtre-halvledere.md#2.9 Forsterkerklasser og forvrengning|Materiell/02-signaler-filtre-halvledere.md#2.11 LF-/HF-forsterker båndbredde og avstemming,HAREC-2024|FAA-ELEC-2023|MIT-TRANSISTOR,DEKKET,2026-08-20,LF HF respons båndbredde klasser og forvrengning
H-T3.5,Materiell/03-modulasjon-sendere-mottakere.md#3.5 Detektorer oscillatorer og PLL,HAREC-2024|ITU-AMATEUR-2026|FAA-ELEC-2023,DEKKET,2026-08-20,AM SSB CW og FM-deteksjon
H-T3.6,Materiell/03-modulasjon-sendere-mottakere.md#3.5 Detektorer oscillatorer og PLL,HAREC-2024|FAA-ELEC-2023,DEKKET,2026-08-20,Tilbakekobling LC krystall overtone VCO stabilitet og fasestøy
H-T3.7,Materiell/03-modulasjon-sendere-mottakere.md#3.5 Detektorer oscillatorer og PLL,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Fasekomparator sløyfefilter VCO og programmerbar deler
H-T3.8,Materiell/04-digital-signalbehandling.md#4.5 FIR- og IIR-filter|Materiell/04-digital-signalbehandling.md#4.6 DFT og FFT|Materiell/04-digital-signalbehandling.md#4.7 Direct Digital Synthesis (DDS),HAREC-2024|MIT-DSP-2161|MIT-DSP-SIGNALS,DEKKET,2026-08-20,FIR IIR DFT FFT og DDS
H-T4.1,Materiell/03-modulasjon-sendere-mottakere.md#3.6 Superheterodynmottakeren,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Enkel dobbel og direktekonverterende mottaker
H-T4.2,Materiell/03-modulasjon-sendere-mottakere.md#3.6 Superheterodynmottakeren,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,A1A A3E J3E og F3E blokkvarianter
H-T4.3,Materiell/03-modulasjon-sendere-mottakere.md#3.6 Superheterodynmottakeren,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,RF LO mikser IF limiter detektorer audio AGC S-meter squelch
H-T4.4,Materiell/03-modulasjon-sendere-mottakere.md#3.7 Mottakeregenskaper,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Alle oppgitte mottakeregenskaper
H-T5.1,Materiell/03-modulasjon-sendere-mottakere.md#3.8 Sendere,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Med og uten frekvensomforming
H-T5.2,Materiell/03-modulasjon-sendere-mottakere.md#3.8 Sendere,HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,CW SSB og PLL-VCO-FM blokkdiagram
H-T5.3,Materiell/03-modulasjon-sendere-mottakere.md#3.8 Sendere,HAREC-2024|ITU-AMATEUR-2026|FAA-ELEC-2023,DEKKET,2026-08-20,Alle sendertrinn og modulatorer
H-T5.4,Materiell/03-modulasjon-sendere-mottakere.md#3.9 Senderegenskaper og effekt,HAREC-2024|ITU-AMATEUR-2026|REG-2026,DEKKET,2026-08-20,Stabilitet bredde linearitet effekt deviasjon clicks chirp splatter spurier og fasestøy
H-T6.1,Materiell/05-antenner-og-transmisjonslinjer.md#5.2 Halvbølgedipolen|Materiell/05-antenner-og-transmisjonslinjer.md#5.3 Kvartbølgevertikal og ground plane|Materiell/05-antenner-og-transmisjonslinjer.md#5.4 Yagi og aperturantenner,HAREC-2024|USN-NEETS-10|IARU-R1-VHF-10.02,DEKKET,2026-08-20,Alle oppgitte antennetyper
H-T6.2,Materiell/05-antenner-og-transmisjonslinjer.md#5.2 Halvbølgedipolen|Materiell/05-antenner-og-transmisjonslinjer.md#5.5 Diagram direktivitet gain og virkningsgrad,HAREC-2024|USN-NEETS-10|REG-2026,DEKKET,2026-08-20,Fordeling impedans polarisasjon gain areal ERP EIRP og diagram
H-T6.3,Materiell/05-antenner-og-transmisjonslinjer.md#5.6 Karakteristisk impedans og kabeltyper|Materiell/05-antenner-og-transmisjonslinjer.md#5.7 Refleksjon og SWR|Materiell/05-antenner-og-transmisjonslinjer.md#5.8 Balun og antennetuner,HAREC-2024|USN-NEETS-10,DEKKET,2026-08-20,Linjetyper Z0 VF tap SWR balun og pi-T-tuner
H-T7,Materiell/06-utbredelse-og-linkbudsjett.md#6.1 Felt effekttetthet og friluftstap|Materiell/06-utbredelse-og-linkbudsjett.md#6.4 Ionosfæren|Materiell/06-utbredelse-og-linkbudsjett.md#6.6 Særlige VHF/UHF/SHF-mekanismer|Materiell/06-utbredelse-og-linkbudsjett.md#6.8 Linkbudsjett,HAREC-2024|USN-NEETS-10|ITU-P525-5,DEKKET,2026-08-20,Alle utbredelsesmekanismer støy og komplett linkbudsjett
H-T8.1,Materiell/07-maleteknikk-emc.md#7.1 Måling er en del av kretsen|Materiell/07-maleteknikk-emc.md#7.2 Frekvens- og bølgeformfeil|Materiell/07-maleteknikk-emc.md#7.5 Effekt PEP og SWR,HAREC-2024|USN-NEETS-16|FAA-ELEC-2023,DEKKET,2026-08-20,Alle oppgitte målinger og målefeil
H-T8.2,Materiell/07-maleteknikk-emc.md#7.3 Oscilloskop og spektrumanalysator|Materiell/07-maleteknikk-emc.md#7.4 Frekvens resonans og signalgenerator,HAREC-2024|USN-NEETS-16,DEKKET,2026-08-20,Alle oppgitte instrumenter
H-T9.1,Materiell/07-maleteknikk-emc.md#7.6 Interferenstyper,HAREC-2024|USN-NEETS-10,DEKKET,2026-08-20,Blokkering kanal intermodulasjon og audiodeteksjon
H-T9.2,Materiell/07-maleteknikk-emc.md#7.7 Koblingsveier,HAREC-2024|USN-NEETS-10|REG-2026,DEKKET,2026-08-20,Felt spurier parasitter harmoniske og alle koblingsveier
H-T9.3,Materiell/07-maleteknikk-emc.md#7.8 Mottiltak,HAREC-2024|USN-NEETS-10,DEKKET,2026-08-20,Filtrering avkobling og skjerming
H-T10,Materiell/08-sikkerhet.md#8.1 Fare oppstår når energi når kroppen|Materiell/08-sikkerhet.md#8.2 Strømnettet|Materiell/08-sikkerhet.md#8.3 Høyspenning og lagret energi|Materiell/08-sikkerhet.md#8.5 Lyn og overspenning,HAREC-2024|DSB-STROM-2026|DSB-LYN-2026,DEKKET,2026-08-20,Alle fire HAREC-kjerneområder pluss praktisk tilleggsstoff
H-O1,Materiell/09-operasjon-regelverk.md#9.1 Det fonetiske alfabetet (`H-O1`),HAREC-2024,DEKKET,2026-08-20,Komplett alfabet
H-O2,Materiell/09-operasjon-regelverk.md#9.2 Q-kodene (`H-O2`),HAREC-2024,DEKKET,2026-08-20,Alle spørsmål og svarformer
H-O3,Materiell/09-operasjon-regelverk.md#9.3 Operative forkortelser (`H-O3`),HAREC-2024,DEKKET,2026-08-20,Alle HAREC-forkortelser
H-O4,Materiell/09-operasjon-regelverk.md#9.4 Nødtrafikk og katastrofer (`H-O4`),HAREC-2024|ITU-AMATEUR-2026|REG-2026,DEKKET,2026-08-20,SOS MAYDAY katastrofer og tjenesteallokering
H-O5,Materiell/09-operasjon-regelverk.md#9.5 Kallesignal og identifikasjon (`H-O5`),HAREC-2024|REG-2026|NUM-35B,DEKKET,2026-08-20,Oppbygning prefikser bruk og identifikasjon
H-O6,Materiell/09-operasjon-regelverk.md#9.6 Båndplan allokering og tjenestestatus (`H-O6` `H-R1` `H-R3`),HAREC-2024|REG-2026|IARU-R1-HF-2016|IARU-R1-VHF-10.02,DEKKET,2026-08-20,Båndplanens formål og rettslig skille
H-O7.1,Materiell/09-operasjon-regelverk.md#9.7 Sosialt ansvar og en normal QSO (`H-O7.1` `H-O7.2`),HAREC-2024|REG-2026,DEKKET,2026-08-20,Selvregulering og selvdisiplin
H-O7.2,Materiell/09-operasjon-regelverk.md#9.7 Sosialt ansvar og en normal QSO (`H-O7.1` `H-O7.2`),HAREC-2024|REG-2026,DEKKET,2026-08-20,Start gjennomføring slutt innhold og kvalitetskontroll
H-R1,Materiell/09-operasjon-regelverk.md#9.8 ITU-rammen (`H-R1`)|Materiell/09-operasjon-regelverk.md#9.6 Båndplan allokering og tjenestestatus (`H-O6` `H-R1` `H-R3`),HAREC-2024|ITU-AMATEUR-2026,DEKKET,2026-08-20,Definisjoner artikkel 25 status og regioner
H-R2,Materiell/09-operasjon-regelverk.md#9.9 CEPT ved midlertidig opphold (`H-R2`),HAREC-2024|CEPT-61-01-2024,DEKKET,2026-08-20,CEPT og deltakende ikke-CEPT-land
H-R3,Materiell/09-operasjon-regelverk.md#9.10 Norske lisensvilkår (`H-R3`)|Materiell/09-operasjon-regelverk.md#9.11 Loggføring (`H-R3`),HAREC-2024|REG-2026|NUM-35B|NKOM-RADIO-2026,DEKKET,2026-08-20,Nasjonale regler lisensvilkår og logg
