id,hovedomrade,harec_punkt,engelsk_term,laeringsmal,detaljer,norsk_saerregel,primaerkilde,bokreferanse,dekning,status,kontrollert_dato
H-T2.1,Teknikk,a.2.1,Resistor,Forstå motstandens egenskaper og belastning.,Ohm; resistans; strøm-/spenningskarakteristikk; effekttap.,,"HAREC-2024 vedlegg 6, PDF-side 16",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.2,Teknikk,a.2.2,Capacitor,Forstå kondensatorens egenskaper i likestrøm- og vekselstrømkretser.,"Kapasitans og farad; kvalitativ sammenheng mellom kapasitans, dimensjoner og dielektrikum; kapasitiv reaktans Xc=1/(2πfC); faseforhold mellom spenning og strøm.",,"HAREC-2024 vedlegg 6, PDF-side 16",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.3,Teknikk,a.2.3,Coil,Forstå spolens egenskaper og induktive reaktans.,"Selvinduktans og henry; kvalitativ virkning av vindingstall, diameter, lengde og kjernemateriale; induktiv reaktans XL=2πfL; faseforhold; Q-faktor.",,"HAREC-2024 vedlegg 6, PDF-side 16",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.4,Teknikk,a.2.4,Transformers application and use,"Forstå ideelle transformatorer og transformasjon av spenning, strøm og impedans.",Ideell transformator Pprim=Psek; sammenheng mellom viklingsforhold og spenningsforhold; motsatt sammenheng for strømforhold; kvalitativ impedanstransformasjon; praktisk bruk av transformatorer.,,"HAREC-2024 vedlegg 6, PDF-side 16",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.5,Teknikk,a.2.5,Diode,Kjenne virkemåte og bruk av sentrale diodetyper.,Likeretterdiode; zenerdiode; LED; varicap; sperrespenning; lekkstrøm.,,"HAREC-2024 vedlegg 6, PDF-side 16",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.6,Teknikk,a.2.6,Transistor,Forstå grunnleggende bipolar- og felteffekttransistorkoblinger.,"PNP og NPN; forsterkningsfaktor; FET kontra bipolar transistor, spennings- kontra strømstyrt; felles emitter/source, base/gate og kollektor/drain; inn- og utgangsimpedans for koblingene.",,"HAREC-2024 vedlegg 6, PDF-side 17",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T2.7,Teknikk,a.2.7,Miscellaneous components,Kjenne andre komponenter som er relevante i radioamatørutstyr.,"Enkelt elektronrør; spenninger og impedanser i høyeffekts rørtrinn; impedanstransformasjon; enkle integrerte kretser, inkludert operasjonsforsterkere.",,"HAREC-2024 vedlegg 6, PDF-side 17",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.1,Teknikk,a.3.1,Combination of components,Kunne analysere grunnleggende komponentkombinasjoner.,"Serie- og parallellkobling av motstander, spoler, kondensatorer, transformatorer og dioder; strøm og spenning; reelle, ikke-ideelle komponenters oppførsel ved høy frekvens.",,"HAREC-2024 vedlegg 6, PDF-side 17",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.2,Teknikk,a.3.2,Filter,Forstå resonanskretser og analoge og digitale filtre.,"Serie- og parallellresonans; impedans og frekvenskarakteristikk; resonans f=1/(2π√LC); Q=2πfL/Rs=Rp/(2πfL)=fres/B; båndbredde; båndpass; lavpass, høypass og båndstopp; frekvensrespons; pi- og T-filter; kvartskrystall; ikke-ideelle komponenter; digitale filtre.",,"HAREC-2024 vedlegg 6, PDF-side 17",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.3,Teknikk,a.3.3,Power supply,Forstå oppbygning og EMC-forhold i strømforsyninger.,Halv- og helbølgelikeretting; brokobling; glatting; stabilisering av lavspenningsforsyninger; svitsjede strømforsyninger; isolasjon og EMC.,,"HAREC-2024 vedlegg 6, PDF-side 17",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.4,Teknikk,a.3.4,Amplifier,Forstå LF-/HF-forsterkere og forvrengning.,"LF- og HF-forsterkere; forsterkning; amplitude-/frekvenskarakteristikk og båndbredde; bredbånd kontra avstemt trinn; klasse A, AB, B og C; harmonisk og intermodulasjonsforvrengning; overstyring.",,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.5,Teknikk,a.3.5,Detector,"Forstå deteksjon og demodulasjon av AM, SSB/CW og FM.",AM-konvoluttdetektor; diodedetektor; produktdetektor og beat-oscillator; FM-detektor.,,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.6,Teknikk,a.3.6,Oscillator,Forstå oscillatorprinsipper og frekvensstabilitet.,"Tilbakekobling og tilsiktet/utilsiktet oscillasjon; faktorer for frekvens og stabilitet; oscillasjonsvilkår; LC-, krystall- og overtoneoscillator; VCO; fasestøy.",,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.7,Teknikk,a.3.7,Phase Locked Loop (PLL),Forstå en faselåst sløyfe og PLL-basert frekvenssyntese.,Reguleringssløyfe med fasekomparator; frekvenssyntese med programmerbar deler i tilbakekoblingssløyfen.,,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T3.8,Teknikk,a.3.8,Digital signal processing systems,Forstå sentrale DSP-systemstrukturer.,"FIR- og IIR-filtertopologier; Fourier-transformasjon, DFT og FFT med grafisk forståelse; Direct Digital Synthesis (DDS).",,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T4.1,Teknikk,a.4.1,Receiver types,Kjenne hovedtypene radiomottakere.,Enkel og dobbel superheterodynmottaker; direktkonverterende mottaker.,,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T4.2,Teknikk,a.4.2,Receiver block diagrams,Kunne lese blokkdiagrammer for vanlige mottakere.,CW-mottaker A1A; AM-mottaker A3E; SSB-mottaker J3E; FM-mottaker F3E.,,"HAREC-2024 vedlegg 6, PDF-side 18",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T4.3,Teknikk,a.4.3,Receiver stages,Forstå funksjonen til hvert hovedtrinn i en mottaker på blokknivå.,HF-forsterker med avstemt eller fast båndpass; fast og variabel oscillator; blander; mellomfrekvensforsterker; limiter; detektor og produktdetektor; lydforsterker; AGC; S-meter; squelch.,,"HAREC-2024 vedlegg 6, PDF-side 19",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T4.4,Teknikk,a.4.4,Receiver characteristics,Kunne beskrive mottakerens viktigste ytelsesegenskaper.,Nabokanal; selektivitet; følsomhet; mottakerstøy og støytall; stabilitet; speilfrekvens; desensitivisering/blokkering; intermodulasjon og kryssmodulasjon; reciprocal mixing/fasestøy.,,"HAREC-2024 vedlegg 6, PDF-side 19",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T5.1,Teknikk,a.5.1,Transmitter types,Forstå sendere med og uten frekvenstransponering.,Senderarkitektur med eller uten frekvensomforming.,,"HAREC-2024 vedlegg 6, PDF-side 19",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T5.2,Teknikk,a.5.2,Transmitter block diagrams,Kunne lese blokkdiagrammer for vanlige sendere.,"CW-sender A1A; SSB-sender J3E; FM-sender der lydsignalet modulerer VCO-en i en PLL, F3E.",,"HAREC-2024 vedlegg 6, PDF-side 19",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T5.3,Teknikk,a.5.3,Transmitter stages,Forstå funksjonen til hvert hovedtrinn i en sender på blokknivå.,"Blander; oscillator; buffer; driver; frekvensmultiplikator; effektforsterker; utgangstilpasning; utgangsfilter; FM-, SSB- og fasemodulator; krystallfilter.",,"HAREC-2024 vedlegg 6, PDF-side 19",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T5.4,Teknikk,a.5.4,Transmitter characteristics,Kunne beskrive senderens viktigste ytelses- og renhetsegenskaper.,"Frekvensstabilitet; RF-båndbredde; sidebånd; audiofrekvensområde; ikke-linearitet, harmonisk og intermodulasjon; utgangsimpedans, effekt og virkningsgrad; frekvensdeviasjon og modulasjonsindeks; CW-key clicks og chirp; SSB-overmodulasjon og splatter; spuriøs RF; kabinettstråling; fasestøy.",,"HAREC-2024 vedlegg 6, PDF-side 20",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T6.1,Teknikk,a.6.1,Antenna types,Kjenne virkemåte og form for sentrale antennetyper.,"Senterfødet og endefødet halvbølge; foldet dipol; kvartbølge vertikal/ground plane; Yagi med parasittelementer; apertureantenner, parabol og horn; trap-dipol.",,"HAREC-2024 vedlegg 6, PDF-side 20",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T6.2,Teknikk,a.6.2,Antenna characteristics,Forstå antenners elektriske egenskaper og stråling.,"Strøm- og spenningsfordeling; matepunktimpedans; kapasitiv/induktiv impedans for ikke-resonant antenne; polarisasjon; direktivitet, virkningsgrad og gain; effektivt areal; ERP og EIRP; front/back-forhold; horisontalt og vertikalt strålingsdiagram.",REG-2026 § 3 bokstav h og særvilkår i § 5a bruker e.i.r.p.,"HAREC-2024 vedlegg 6, PDF-side 20",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T6.3,Teknikk,a.6.3,Transmission lines,"Forstå transmisjonslinjer, tilpasning og tap.",Parallell leder; koaksialkabel; bølgeleder; karakteristisk impedans Z0; hastighetsfaktor; SWR; tap; balun; antennetuner i pi- og T-konfigurasjon.,,"HAREC-2024 vedlegg 6, PDF-side 21",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T7,Teknikk,a.7,Propagation,Forstå radiobølgers utbredelse og kunne gjøre en grunnleggende linkbudsjettvurdering.,"Signaldemping og S/N; frirom og invers-kvadratlov; ionosfærelag, kritisk frekvens, solpåvirkning og MUF; bakke- og rombølge, strålingsvinkel og skipavstand; flervei og fading; troposfærisk ducting/spredning; antennehøyde og radiohorisont; temperaturinversjon; sporadisk E; aurora; meteor og måne; atmosfærisk, galaktisk og termisk bakkestøy; linkbudsjett med dominerende støykilde, minimum S/N og mottatt effekt, path loss, antennegevinst, linjetap og minimum sendereffekt.",,"HAREC-2024 vedlegg 6, PDF-side 21",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T8.1,Teknikk,a.8.1,Making measurements,Kunne velge og tolke sentrale målinger på radio- og elektronikkutstyr.,"DC- og AC-spenning og strøm; målefeil fra frekvens, bølgeform og instrumentets indre motstand; resistans; DC- og RF-effekt, middel og PEP; SWR; RF-konvolutt; frekvens; resonansfrekvens.",,"HAREC-2024 vedlegg 6, PDF-side 22",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T8.2,Teknikk,a.8.2,Measuring instruments,Kunne bruke og forstå sentrale måleinstrumenter.,Digitalt og analogt multimeter; RF-effektmeter; reflektometer/SWR-meter; signalgenerator; frekvensteller; oscilloskop; spektrumanalysator.,,"HAREC-2024 vedlegg 6, PDF-side 22",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T9.1,Teknikk,a.9.1,Interference in electronic equipment,Kjenne vanlige former for interferens i elektronisk utstyr.,Blokkering; interferens med ønsket signal; intermodulasjon; deteksjon i lydkretser.,,"HAREC-2024 vedlegg 6, PDF-side 22",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T9.2,Teknikk,a.9.2,Causes of interference,Forstå hvordan senderfelt og uønskede signaler kobles inn i annet utstyr.,"Senderens feltstyrke; spuriøs stråling, parasittisk stråling og harmoniske; påvirkning via antenneinngang, andre tilkoblede ledninger eller direkte innstråling.",REG-2026 § 9 viser til ITU-R SM.329 for uønsket utstrålt effekt,"HAREC-2024 vedlegg 6, PDF-side 22",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T9.3,Teknikk,a.9.3,Measures against interference,Kunne foreslå tiltak for å forebygge og fjerne interferens.,Filtrering; avkobling; skjerming.,,"HAREC-2024 vedlegg 6, PDF-side 22",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-T10,Sikkerhet,a.10,Safety,Forstå grunnleggende elektrisk og fysisk sikkerhet ved en radioamatørstasjon.,Menneskekroppen; strømnettet; høyspenning; lyn.,,"HAREC-2024 vedlegg 6, PDF-side 23",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O1,Operasjon,b.1,Phonetic alphabet,Kunne ITUs fonetiske alfabet og bruke det korrekt.,"Alpha, Bravo, Charlie, Delta, Echo, Foxtrot, Golf, Hotel, India, Juliett, Kilo, Lima, Mike, November, Oscar, Papa, Quebec, Romeo, Sierra, Tango, Uniform, Victor, Whiskey, X-ray, Yankee, Zulu.",,"HAREC-2024 vedlegg 6, PDF-side 23",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O2,Operasjon,b.2,Q-code,Forstå spørsmål- og svarbetydningen til Q-kodene i HAREC-listen.,"QRK, QRM, QRN, QRO, QRP, QRT, QRZ, QRV, QSB, QSL, QSO, QSY, QRX og QTH.",,"HAREC-2024 vedlegg 6, PDF-side 23",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O3,Operasjon,b.3,Operational abbreviations,Forstå og bruke de operative forkortelsene i HAREC-listen.,"BK, CQ, CW, DE, K, MSG, PSE, RST, R, RX, TX og UR.",,"HAREC-2024 vedlegg 6, PDF-side 24",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O4,Operasjon,b.4,"International distress signs, emergency traffic and natural disaster communication",Kjenne internasjonale nødsignaler og radioamatørens rolle ved katastrofer.,SOS i radiotelegrafi; MAYDAY i radiotelefoni; internasjonal bruk av amatørstasjoner ved nasjonale katastrofer; bånd allokert til amatørtjenesten og amatørsatellittjenesten.,,"HAREC-2024 vedlegg 6, PDF-side 24",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O5,Operasjon,b.5,Call signs,Forstå identifikasjon og oppbygning av kallesignaler.,Identifikasjon av amatørstasjon; bruk og sammensetning av kallesignal; nasjonale prefikser.,REG-2026 §§ 4 og 7; nummerforskriften § 35b,"HAREC-2024 vedlegg 6, PDF-side 24",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O6,Operasjon,b.6,IARU band plans,Forstå IARU-båndplaner og formålet med dem.,Båndplanenes oppbygning og formål; skille anbefalt bruk fra nasjonal frekvenstillatelse.,REG-2026 § 7 sier at sendinger bør følge relevante båndplaner,"HAREC-2024 vedlegg 6, PDF-side 24",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O7.1,Operasjon,b.7.1,Social responsibility of radio amateur operation,Forstå radioamatørens sosiale ansvar og selvregulering.,Radio Amateur Code of Conduct; selvregulering og selvdisiplin.,,"HAREC-2024 vedlegg 6, PDF-side 24",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-O7.2,Operasjon,b.7.2,Operating procedures,Kunne gjennomføre en korrekt kontakt og kontrollere sendekvaliteten.,"Starte, gjennomføre og avslutte kontakt; korrekt kallesignal og forkortelser; tillatt innhold; kontroll av sendekvalitet.",REG-2026 § 7,"HAREC-2024 vedlegg 6, PDF-side 25",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-R1,Regelverk,c.1,ITU Radio Regulations,Kjenne ITU-reglene som rammer inn amatørtjenesten.,"Definisjon av Amateur Service, Amateur Satellite Service og Amateur station; artikkel 25; tjenestenes status; ITUs radioregioner.",,"HAREC-2024 vedlegg 6, PDF-side 25",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-R2,Regelverk,c.2,CEPT regulations,Forstå CEPT-ordningen for midlertidig internasjonal bruk.,T/R 61-01; midlertidig bruk i CEPT-land; midlertidig bruk i ikke-CEPT-land som deltar i T/R 61-01-systemet.,,"HAREC-2024 vedlegg 6, PDF-side 25",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
H-R3,Regelverk,c.3,"National laws, regulations and licence conditions","Kjenne norske lover, forskrifter og lisensvilkår og forstå loggføring.",Nasjonale lover; forskrifter og lisensvilkår; føre logg; formålet med loggen; hvilke data som registreres.,REG-2026; nummerforskriften § 35b,"HAREC-2024 vedlegg 6, PDF-side 25",,IKKE_KARTLAGT,HAREC_BEKREFTET,2026-08-20
